Москва	45000000
Казань	92701000
Санкт-Петербург	40000000
Нижний Новгород	22701000
Уфа	80701000001
Пермь	57701000001
Ростов-на-Дону	60701000001
Новосибирск	50701000001
Самара	36701000
Омск	52701000001
Красноярск	04701000
Волгоград	18701000001
Воронеж	20701000001
Челябинск	75701000001
Екатеринбург	65701000
Химки	46783000
Балашиха	46704000001
Тюмень	71701000001
Подольск	46760000001
Ставрополь	07701000
Калининград	27701000001
Брянск	15701000001
Белгород	14701000
Оренбург	53701000
Грозный	96701000
Иваново	24701000001
Барнаул	01701000001
Якутск	98701000
Нижний Тагил	65751000
Липецк	42701000001
Тверь	28701000
Тамбов	68701000001
Пенза	56701000
Сургут	71876000
Чебоксары	97701000
Стерлитамак	80745000001
Хабаровск	08701000001
Калуга	29701000
Набережные Челны	92730000
Волжский	18710000001
Тула	70701000001
Саранск	89701000001
Архангельск	11701000001
Курск	38701000001
Севастополь	67000000
Ижевск	94701000001
Саратов	63701000
Кострома	34701000001
Смоленск	66701000001
Симферополь	35701000001
Вологда	19701000001
Нижневартовск	71875000
Киров	33701000001
Мурманск	47701000001
Кемерово	32701000001
Петрозаводск	86701000
Ульяновск	73701000
Ярославль	78701000001
Улан-Удэ	81701000001
Череповец	19730000
Тольятти	36740000001
Сочи	03726000001
Чита	76701000001
Владивосток	05701000001
Рязань	61701000001
Орёл	54701000001
Новокузнецк	32731000001
Йошкар-Ола	88701000
Магнитогорск	75738000001
Махачкала	82701000
Владикавказ	90701000001
Владимир	17701000001
Новороссийск	03720000001
Томск	69701000001
Курган	37701000
Краснодар	03701000001
Иркутск	25701000001
Астрахань	12701000
Реутов	46764000001
Серпухов	46770000001
Электросталь	46790000001
Домодедово	46709000
Орехово-Зуево	46757000001
Красногорск	46744000001
Долгопрудный	46716000
Королёв	46734000001
Жуковский	04626404
Люберцы	46748000001
Одинцово	46755000001
Сергиев Посад	46728000001
Щёлково	46788000001
Раменское	46768000001
Пушкино	46758000001
Ангарск	25703000001
Нижнекамск	92644101
Рыбинск	78715000001
Мытищи	46746000001
Благовещенск	10701000001
Северск	69741000001
Коломна	46738000001
Батайск	60707000001
Новокуйбышевск	36713000001
Старый Оскол	14740000001
Балаково	63607101
Альметьевск	92608101001
Южно-Сахалинск	64701000001
Абакан	95701000001
Елец	42715000001
Бийск	01705000001
Псков	58701000001
Великий Новгород	49701000001
Сызрань	36735000001
Новочеркасск	60727000001
Ногинск	46751000001
Рубцовск	01716000
Комсомольск-на-Амуре	08709000001
Златоуст	75712000001
Димитровград	73705000
Ковров	17725000001
Энгельс	63650101001
Железногорск	38705000001
Волгодонск	60712000001
Нефтеюганск	71874000
Новомосковск	70724000001
Камышин	18715000001
Обнинск	29715000001
Березники	57708000001
Ноябрьск	71958000
Бердск	50708000001
Сыктывкар	87701000001
Нальчик	83701000001
Армавир	03705000001
Ессентуки	07710000
Уссурийск	05723000001
Новошахтинск	60730000001
Новочебоксарск	97710000
Новый Уренгой	71956000
Шахты	60740000001
Невинномысск	07724000
Арзамас	22703000
Орск	53723000
Хасавюрт	82735000001
Нефтекамск	80727000001
Петропавловск-Камчатский	30701000
Октябрьский	80735000001
Каспийск	82720000
Муром	17735000001
Миасс	75742000001
Пятигорск	07727000
Дзержинск	22721000
Черкесск	91701000001
Элиста	85701000
Евпатория	35712000001
Прокопьевск	32737000001
Керчь	35715000001
Каменск-Уральский	65740000
Кызыл	93701000001
Артём	05705000
Копейск	75728000001
Кисловодск	07715000
Северодвинск	11730000001
Первоуральск	65753000
Братск	25714000001
Назрань	26706000001
Норильск	04729000001
Находка	05714000001
Таганрог	60737000001
Ачинск	04703000001
Дербент	82710000
Салават	80739000001
Майкоп	79701000001
Дубна	46718000001
Ивантеевка	46732000001
Наро-Фоминск	45326000
Гатчина	41618101001
Елабуга	92626101
Ханты-Мансийск	71871000
Саров	22704000
Сосновый бор	41754000
Ялта	35729000001
Анадырь	77701000
Горно-Алтайск	84701000
Чайковский	57735000001
Магас	26701000001
Соликамск	57730000001
Биробиджан	99701000
Сатка	75649101001
Междуреченск	32725000001
Магадан	44701000001
Снежинск	75746000001
Нарьян-Мар	11851000001
